Surprise,Cowboys vs Eagles,Saints vs Eagles,Castle
0,0,0,0
0.000322269,0,0,0
0.000644538,0,0,0
0.000966806,0,0,0
0.001289075,0,0,0
0.001611344,0,0,0
0.001933613,0,0,0
0.002255881,0,0,0
0.00257815,0,0,0
0.002900419,0,0,0
0.003222688,0,0,0
0.003544956,0,0,0
0.003867225,0,0,0
0.004189494,0,0,0
0.004511763,0,0,0
0.004834032,0,0,0
0.0051563,0,0,0
0.005478569,0,0,0
0.005800838,0,0,0
0.006123107,0,0,0
0.006445375,0,0,0.037037037
0.006767644,0,0,0.037037037
0.007089913,0,0,0.037037037
0.007412182,0,0,0.074074074
0.007734451,0,0,0.074074074
0.008056719,0,0,0.111111111
0.008378988,0,0,0.111111111
0.008701257,0,0,0.111111111
0.009023526,0,0,0.111111111
0.009345794,0,0,0.111111111
0.009668063,0,0,0.111111111
0.009990332,0,0,0.111111111
0.010312601,0,0,0.111111111
0.010634869,0,0,0.111111111
0.010957138,0,0,0.111111111
0.011279407,0,0,0.111111111
0.011601676,0,0,0.111111111
0.011923945,0,0,0.111111111
0.012246213,0,0.064516129,0.111111111
0.012568482,0,0.064516129,0.111111111
0.012890751,0,0.064516129,0.111111111
0.01321302,0,0.064516129,0.111111111
0.013535288,0,0.064516129,0.222222222
0.013857557,0,0.064516129,0.222222222
0.014179826,0,0.064516129,0.222222222
0.014502095,0,0.064516129,0.222222222
0.014824364,0,0.064516129,0.222222222
0.015146632,0,0.064516129,0.222222222
0.015468901,0,0.064516129,0.222222222
0.01579117,0,0.064516129,0.222222222
0.016113439,0,0.064516129,0.222222222
0.016435707,0,0.064516129,0.222222222
0.016757976,0,0.064516129,0.222222222
0.017080245,0,0.064516129,0.222222222
0.017402514,0,0.064516129,0.222222222
0.017724782,0,0.064516129,0.222222222
0.018047051,0,0.064516129,0.222222222
0.01836932,0,0.064516129,0.222222222
0.018691589,0,0.064516129,0.222222222
0.019013858,0,0.064516129,0.222222222
0.019336126,0,0.064516129,0.222222222
0.019658395,0,0.064516129,0.222222222
0.019980664,0,0.064516129,0.222222222
0.020302933,0,0.064516129,0.259259259
0.020625201,0,0.064516129,0.259259259
0.02094747,0,0.064516129,0.259259259
0.021269739,0,0.064516129,0.259259259
0.021592008,0,0.064516129,0.259259259
0.021914277,0,0.064516129,0.259259259
0.022236545,0,0.064516129,0.259259259
0.022558814,0,0.064516129,0.259259259
0.022881083,0,0.064516129,0.259259259
0.023203352,0,0.064516129,0.259259259
0.02352562,0,0.064516129,0.259259259
0.023847889,0,0.064516129,0.259259259
0.024170158,0,0.064516129,0.296296296
0.024492427,0,0.064516129,0.296296296
0.024814695,0,0.064516129,0.296296296
0.025136964,0,0.064516129,0.333333333
0.025459233,0,0.064516129,0.333333333
0.025781502,0,0.064516129,0.37037037
0.026103771,0,0.064516129,0.37037037
0.026426039,0,0.064516129,0.37037037
0.026748308,0,0.064516129,0.407407407
0.027070577,0,0.064516129,0.407407407
0.027392846,0,0.064516129,0.407407407
0.027715114,0,0.064516129,0.407407407
0.028037383,0,0.064516129,0.407407407
0.028359652,0,0.064516129,0.407407407
0.028681921,0,0.064516129,0.407407407
0.029004189,0,0.064516129,0.407407407
0.029326458,0,0.064516129,0.407407407
0.029648727,0,0.064516129,0.407407407
0.029970996,0,0.064516129,0.407407407
0.030293265,0,0.064516129,0.407407407
0.030615533,0,0.064516129,0.407407407
0.030937802,0,0.064516129,0.407407407
0.031260071,0,0.064516129,0.407407407
0.03158234,0,0.064516129,0.407407407
0.031904608,0,0.064516129,0.407407407
0.032226877,0,0.064516129,0.444444444
0.032549146,0,0.064516129,0.444444444
0.032871415,0,0.064516129,0.444444444
0.033193684,0,0.064516129,0.444444444
0.033515952,0,0.064516129,0.444444444
0.033838221,0,0.064516129,0.444444444
0.03416049,0,0.064516129,0.444444444
0.034482759,0,0.064516129,0.444444444
0.034805027,0,0.064516129,0.444444444
0.035127296,0,0.064516129,0.481481481
0.035449565,0,0.064516129,0.481481481
0.035771834,0,0.064516129,0.481481481
0.036094102,0,0.064516129,0.481481481
0.036416371,0,0.064516129,0.481481481
0.03673864,0,0.064516129,0.481481481
0.037060909,0,0.064516129,0.481481481
0.037383178,0,0.064516129,0.481481481
0.037705446,0,0.064516129,0.481481481
0.038027715,0,0.064516129,0.481481481
0.038349984,0,0.064516129,0.481481481
0.038672253,0,0.064516129,0.481481481
0.038994521,0,0.064516129,0.481481481
0.03931679,0,0.064516129,0.481481481
0.039639059,0,0.064516129,0.481481481
0.039961328,0,0.064516129,0.481481481
0.040283597,0,0.064516129,0.481481481
0.040605865,0,0.064516129,0.481481481
0.040928134,0,0.064516129,0.481481481
0.041250403,0,0.064516129,0.481481481
0.041572672,0,0.064516129,0.481481481
0.04189494,0,0.064516129,0.518518519
0.042217209,0,0.064516129,0.518518519
0.042539478,0,0.064516129,0.518518519
0.042861747,0,0.064516129,0.518518519
0.043184015,0,0.064516129,0.518518519
0.043506284,0,0.064516129,0.518518519
0.043828553,0,0.064516129,0.518518519
0.044150822,0,0.064516129,0.518518519
0.044473091,0,0.064516129,0.518518519
0.044795359,0,0.064516129,0.518518519
0.045117628,0,0.064516129,0.518518519
0.045439897,0,0.064516129,0.518518519
0.045762166,0,0.064516129,0.555555556
0.046084434,0,0.064516129,0.555555556
0.046406703,0,0.064516129,0.555555556
0.046728972,0,0.064516129,0.555555556
0.047051241,0,0.064516129,0.555555556
0.04737351,0,0.064516129,0.555555556
0.047695778,0,0.064516129,0.555555556
0.048018047,0,0.064516129,0.555555556
0.048340316,0,0.064516129,0.592592593
0.048662585,0,0.064516129,0.592592593
0.048984853,0,0.064516129,0.592592593
0.049307122,0,0.064516129,0.592592593
0.049629391,0,0.064516129,0.592592593
0.04995166,0,0.064516129,0.592592593
0.050273928,0,0.064516129,0.592592593
0.050596197,0,0.064516129,0.592592593
0.050918466,0,0.064516129,0.592592593
0.051240735,0,0.064516129,0.592592593
0.051563004,0,0.064516129,0.592592593
0.051885272,0,0.064516129,0.592592593
0.052207541,0,0.064516129,0.592592593
0.05252981,0,0.064516129,0.592592593
0.052852079,0,0.064516129,0.592592593
0.053174347,0,0.064516129,0.592592593
0.053496616,0,0.064516129,0.592592593
0.053818885,0,0.064516129,0.592592593
0.054141154,0,0.064516129,0.592592593
0.054463422,0,0.064516129,0.592592593
0.054785691,0,0.064516129,0.592592593
0.05510796,0,0.064516129,0.592592593
0.055430229,0,0.064516129,0.592592593
0.055752498,0,0.064516129,0.592592593
0.056074766,0.034482759,0.064516129,0.592592593
0.056397035,0.034482759,0.064516129,0.592592593
0.056719304,0.034482759,0.064516129,0.592592593
0.057041573,0.034482759,0.064516129,0.592592593
0.057363841,0.034482759,0.064516129,0.62962963
0.05768611,0.034482759,0.064516129,0.62962963
0.058008379,0.034482759,0.064516129,0.62962963
0.058330648,0.034482759,0.064516129,0.62962963
0.058652917,0.034482759,0.064516129,0.62962963
0.058975185,0.068965517,0.064516129,0.62962963
0.059297454,0.068965517,0.064516129,0.62962963
0.059619723,0.068965517,0.064516129,0.62962963
0.059941992,0.068965517,0.064516129,0.62962963
0.06026426,0.068965517,0.064516129,0.62962963
0.060586529,0.068965517,0.064516129,0.62962963
0.060908798,0.068965517,0.064516129,0.62962963
0.061231067,0.068965517,0.064516129,0.62962963
0.061553335,0.068965517,0.064516129,0.62962963
0.061875604,0.068965517,0.064516129,0.62962963
0.062197873,0.068965517,0.064516129,0.62962963
0.062520142,0.068965517,0.064516129,0.62962963
0.062842411,0.068965517,0.064516129,0.62962963
0.063164679,0.068965517,0.064516129,0.62962963
0.063486948,0.068965517,0.064516129,0.62962963
0.063809217,0.068965517,0.064516129,0.62962963
0.064131486,0.068965517,0.064516129,0.62962963
0.064453754,0.068965517,0.064516129,0.62962963
0.064776023,0.068965517,0.064516129,0.62962963
0.065098292,0.068965517,0.064516129,0.62962963
0.065420561,0.068965517,0.064516129,0.62962963
0.06574283,0.068965517,0.064516129,0.62962963
0.066065098,0.068965517,0.064516129,0.62962963
0.066387367,0.068965517,0.064516129,0.62962963
0.066709636,0.068965517,0.064516129,0.62962963
0.067031905,0.068965517,0.064516129,0.62962963
0.067354173,0.103448276,0.064516129,0.666666667
0.067676442,0.103448276,0.064516129,0.666666667
0.067998711,0.103448276,0.064516129,0.666666667
0.06832098,0.103448276,0.064516129,0.666666667
0.068643248,0.103448276,0.064516129,0.666666667
0.068965517,0.103448276,0.064516129,0.666666667
0.069287786,0.103448276,0.064516129,0.666666667
0.069610055,0.103448276,0.064516129,0.666666667
0.069932324,0.103448276,0.064516129,0.666666667
0.070254592,0.103448276,0.064516129,0.666666667
0.070576861,0.103448276,0.064516129,0.666666667
0.07089913,0.103448276,0.064516129,0.666666667
0.071221399,0.103448276,0.064516129,0.666666667
0.071543667,0.103448276,0.064516129,0.666666667
0.071865936,0.103448276,0.064516129,0.666666667
0.072188205,0.103448276,0.064516129,0.666666667
0.072510474,0.103448276,0.096774194,0.703703704
0.072832743,0.103448276,0.096774194,0.703703704
0.073155011,0.103448276,0.096774194,0.703703704
0.07347728,0.103448276,0.096774194,0.703703704
0.073799549,0.103448276,0.096774194,0.703703704
0.074121818,0.103448276,0.096774194,0.703703704
0.074444086,0.103448276,0.096774194,0.703703704
0.074766355,0.137931034,0.096774194,0.703703704
0.075088624,0.137931034,0.096774194,0.703703704
