EC,ES,C,RV
0,0,0,0
0.034482759,0.03030303,0,0.0002
0.034482759,0.03030303,0,0.0004
0.034482759,0.03030303,0,0.0006
0.034482759,0.03030303,0,0.0008
0.034482759,0.03030303,0,0.001
0.034482759,0.03030303,0,0.0012
0.034482759,0.03030303,0,0.0014
0.034482759,0.03030303,0,0.0016
0.034482759,0.03030303,0,0.0018
0.034482759,0.03030303,0,0.002
0.034482759,0.03030303,0,0.0022
0.034482759,0.03030303,0,0.0024
0.034482759,0.03030303,0,0.0026
0.034482759,0.03030303,0,0.0028
0.034482759,0.03030303,0,0.003
0.034482759,0.03030303,0,0.0032
0.034482759,0.03030303,0,0.0034
0.034482759,0.03030303,0,0.0036
0.034482759,0.03030303,0,0.0038
0.034482759,0.03030303,0,0.004
0.034482759,0.03030303,0,0.0042
0.034482759,0.03030303,0,0.0044
0.034482759,0.03030303,0,0.0046
0.034482759,0.03030303,0,0.0048
0.034482759,0.03030303,0,0.005
0.034482759,0.03030303,0,0.0052
0.034482759,0.03030303,0,0.0054
0.034482759,0.03030303,0,0.0056
0.034482759,0.03030303,0,0.0058
0.034482759,0.03030303,0,0.006
0.034482759,0.03030303,0,0.0062
0.034482759,0.03030303,0,0.0064
0.034482759,0.03030303,0,0.0066
0.034482759,0.03030303,0,0.0068
0.034482759,0.03030303,0,0.007
0.034482759,0.03030303,0,0.0072
0.034482759,0.03030303,0,0.0074
0.034482759,0.03030303,0,0.0076
0.034482759,0.03030303,0,0.0078
0.034482759,0.03030303,0,0.008
0.034482759,0.03030303,0,0.0082
0.034482759,0.03030303,0,0.0084
0.034482759,0.03030303,0,0.0086
0.034482759,0.03030303,0,0.0088
0.034482759,0.03030303,0,0.009
0.034482759,0.03030303,0,0.0092
0.034482759,0.03030303,0,0.0094
0.034482759,0.03030303,0,0.0096
0.034482759,0.03030303,0,0.0098
0.034482759,0.03030303,0,0.01
0.034482759,0.03030303,0,0.0102
0.034482759,0.03030303,0,0.0104
0.034482759,0.03030303,0,0.0106
